shapeGroup,Group_corr,continent_corr,country_corr
PSE,Asia/Pacific,Asia/Pacific,Palestine
MCO,Europe,Europe,Monaco
TUV,Asia/Pacific,Asia/Pacific,Tuvalu
SMR,Europe,Europe,San Marino
SYR,Asia/Pacific,Asia/Pacific,Syria
SYC,Africa,Africa,Seychelles
MHL,Asia/Pacific,Asia/Pacific,Marshall Islands
PLW,Asia/Pacific,Asia/Pacific,Palau
PRK,Asia/Pacific,Asia/Pacific,North Korea
NRU,Asia/Pacific,Asia/Pacific,Nauru
GRL,Americas,Americas,Greenland
XKX,Europe,Europe,Kosovo
CHL,,,Chile
CHN,,,China
RUS,,,Russia
BOL,,,Bolivia
VEN,,,Venezuela
