"","region","continent","healthindex","incindex","edindex","lifexp","gnic","esch","msch","pop","shapeGroup","hdi","source_id","Group","subnat_group","level","abs_diff","perc_diff"
"1","Taiwan","Asia/Pacific",0.95,0.921,0.779,81.76,44.435459,16.67,9.48,2.790473,"CHN",0.88,8966,"Asia/Pacific","Very high","2",306,9.27272727272727
"2","Praha","Europe",0.934,0.982,0.967,80.7,66.640883,20.99,14.02,1.286182,"CZE",0.961,12165,"EU+OECD","Very high","1",6,0.75
"3","Serua, Namosi","Asia/Pacific",0.726,0.675,0.741,67.17,8.708189,13.4,11.05,0.027185,"FJI",0.713,15801,"Asia/Pacific","High","2",5,0.5
"4","Kadavu, Lau, Lomaiviti, Rotuma","Asia/Pacific",0.729,0.565,0.726,67.37,4.209315,13.95,10.14,0.04155,"FJI",0.669,15803,"Asia/Pacific","Medium","2",5,0.5
"5","Cakaudrove, Bua","Asia/Pacific",0.749,0.569,0.7,68.71,4.334995,13.28,9.93,0.066791,"FJI",0.668,15804,"Asia/Pacific","Medium","2",5,0.5
"6","Nadroga or Navosa","Asia/Pacific",0.739,0.645,0.724,68.01,7.138505,13.37,10.59,0.060934,"FJI",0.701,15807,"Asia/Pacific","High","2",5,0.5
"7","Guadeloupe","Europe",0.944,0.84,0.75,81.34,26.046057,14.72,10.23,0.429073,"FRA",0.841,16616,"EU+OECD","Very high","2",78,2.88888888888889
"8","Martinique","Europe",0.95,0.857,0.766,81.74,29.160285,15.03,10.46,0.37477,"FRA",0.854,16617,"EU+OECD","Very high","2",78,2.88888888888889
"9","Reunion","Europe",0.933,0.846,0.739,80.65,26.992855,14.47,10.11,0.860791,"FRA",0.836,16619,"EU+OECD","Very high","2",78,2.88888888888889
"10","Libreville-Port Gentil","Africa",0.726,0.812,0.681,67.18,21.547808,13.04,9.55,1.137139,"GAB",0.738,16958,"Africa","High","2",39,3.9
"11","Provincia Autonoma di Bolzano","Europe",0.986,0.956,0.742,84.09,56.172648,14.27,10.36,0.522887,"ITA",0.888,25726,"EU+OECD","Very high","2",89,4.23809523809524
"12","Almaty city","Asia/Pacific",0.796,0.849,0.903,71.72,27.606328,16.66,13.22,1.37421,"KAZ",0.848,26831,"Asia/Pacific","Very high","1",10,1.66666666666667
"13","Jalal-Abad","Asia/Pacific",0.809,0.507,0.694,72.58,2.868091,12.4,10.49,1.04337,"KGZ",0.658,27355,"Asia/Pacific","Medium","2",32,4
"14","Osh","Asia/Pacific",0.778,0.504,0.698,70.57,2.814624,12.61,10.42,1.572508,"KGZ",0.649,27356,"Asia/Pacific","Medium","2",32,4
"15","Naryn","Asia/Pacific",0.766,0.502,0.739,69.82,2.781038,13.62,10.82,0.2976,"KGZ",0.657,27357,"Asia/Pacific","Medium","2",32,4
"16","Batken","Asia/Pacific",0.774,0.524,0.667,70.31,3.202585,11.43,10.47,0.460169,"KGZ",0.647,27358,"Asia/Pacific","Medium","2",32,4
"17","Pieriga region","Europe",0.869,0.807,0.872,76.48,20.95758,15.98,12.83,0.359493,"LVA",0.849,30246,"EU+OECD","Very high","2",113,18.8333333333333
"18","Male","Asia/Pacific",0.897,0.753,0.637,78.28,14.633647,12.95,8.32,0.213111,"MDV",0.755,31227,"Asia/Pacific","High","1",5,0.833333333333333
"19","North","Asia/Pacific",0.898,0.713,0.505,78.4,11.248041,11.2,5.82,0.066236,"MDV",0.686,31228,"Asia/Pacific","Medium","1",5,0.833333333333333
"20","North Central","Asia/Pacific",0.919,0.713,0.488,79.71,11.244218,10.88,5.56,0.062776,"MDV",0.684,31229,"Asia/Pacific","Medium","1",5,0.833333333333333
"21","Central","Asia/Pacific",0.906,0.712,0.481,78.88,11.171823,10.91,5.33,0.036872,"MDV",0.677,31230,"Asia/Pacific","Medium","1",5,0.833333333333333
