region,shapeGroup,source_id,level,shapeID,old_source_id
Praha,CZE,12165,1,CZE-ADM1-3_0_0-B1,443
"Serua, Namosi",FJI,15801,2,FJI-ADM2-3_0_0-B5,577
"Serua, Namosi",FJI,15801,2,FJI-ADM2-3_0_0-B2,577
"Kadavu, Lau, Lomaiviti, Rotuma",FJI,15803,2,FJI-ADM2-3_0_0-B10,579
"Kadavu, Lau, Lomaiviti, Rotuma",FJI,15803,2,FJI-ADM2-3_0_0-B11,579
"Kadavu, Lau, Lomaiviti, Rotuma",FJI,15803,2,FJI-ADM2-3_0_0-B12,579
"Kadavu, Lau, Lomaiviti, Rotuma",FJI,15803,2,FJI-ADM2-3_0_0-B7,579
"Cakaudrove, Bua",FJI,15804,2,FJI-ADM2-3_0_0-B9,580
"Cakaudrove, Bua",FJI,15804,2,FJI-ADM2-3_0_0-B8,580
Nadroga or Navosa,FJI,15807,2,FJI-ADM2-3_0_0-B14,583
Guadeloupe,FRA,16616,2,FRA-ADM2-3_0_0-B13,608
Martinique,FRA,16617,2,FRA-ADM2-3_0_0-B60,609
Reunion,FRA,16619,2,FRA-ADM2-3_0_0-B67,611
Libreville-Port Gentil,GAB,16958,2,GAB-ADM2-3_0_0-B22,624
Provincia Autonoma di Bolzano,ITA,25726,2,ITA-ADM2-3_0_0-B21,930
Almaty city,KAZ,26831,1,KAZ-ADM1-3_0_0-B14,971
Jalal-Abad,KGZ,27355,1,KGZ-ADM1-3_0_0-B4,991
Osh,KGZ,27356,1,KGZ-ADM1-3_0_0-B2,992
Naryn,KGZ,27357,1,KGZ-ADM1-3_0_0-B7,993
Batken,KGZ,27358,2,KGZ-ADM2-3_0_0-B6,994
Duchanbe,TJK,45767,match,TJK-ADM1-3_0_0-B5,1682
Port Vila,VUT,51047,2,VUT-ADM2-3_0_0-B60,1885
Luganville,VUT,51048,2,VUT-ADM2-3_0_0-B61,1886
Gjakova,XKX,51143,match,XKX-ADM1-3_0_0-B1,1889
Gjilan,XKX,51144,match,"XKX-ADM1-3_0_0-B7	",1890
Mitrovica,XKX,51145,match,XKX-ADM1-3_0_0-B5,1891
Peja,XKX,51146,match,XKX-ADM1-3_0_0-B3,1892
Prizren,XKX,51147,match,XKX-ADM1-3_0_0-B6,1893
Pristina,XKX,51148,match,XKX-ADM1-3_0_0-B4,1894
Ferizaj,XKX,51149,match,XKX-ADM1-3_0_0-B2,1895
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B2,336
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B3,336
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B4,336
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B5,336
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B6,336
Taiwan,CHN,8966,1,TWN-ADM1-3_0_0-B7,336
